year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dn515306,md,3.9,41719,silver,black,avis corporation,12900,12300,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dn520252,ca,3.4,64972,silver,black,the hertz corporation,11700,11500,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2013,Nissan,Pathfinder,SV,SUV,automatic,5n1ar2mn0dc642830,fl,4.4,21587,black,black,nissan north america inc.,21700,20800,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2013,Nissan,Pathfinder,SL,SUV,automatic,5n1ar2mn2dc610672,fl,4.5,23936,red,beige,nissan north america inc.,21400,27400,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dn558657,ca,3.4,38530,red,black,nissan north america inc.,13350,12250,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,3.5 S,Sedan,automatic,1n4bl3ap5dn423698,tx,3.8,19915,white,black,nissan motor acceptance corporation,16700,15600,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dc119405,pa,4.5,31447,silver,black,nissan-infiniti lt,13700,14200,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap5dc811930,la,3.7,64115,black,black,the hertz corporation,12650,13700,Wed Dec 24 2014 10:00:00 GMT-0800 (PST)
2013,Nissan,Pathfinder,SL,SUV,automatic,5n1ar2mnxdc640731,tn,2.9,28652,black,black,nissan north america inc.,20500,21000,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap7dl799113,tx,4.9,10079,red,black,fiserv/regions bank,12550,12900,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
2013,Nissan,Rogue,S,SUV,automatic,jn8as5mt1dw552663,ca,1,29798,black,black,enterprise vehicle exchange / tra / rental / tulsa,14100,11800,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2013,Nissan,Titan,SL,Crew Cab,automatic,1n6ba0ec1dn301584,tx,4.3,28150,black,black,nissan motor acceptance corporation,24500,30800,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
2013,Nissan,Rogue,S,SUV,automatic,jn8as5mv5dw639905,nv,4.8,20359,white,gray,"jpmorgan chase bank,n.a.",15600,16500,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2013,Nissan,Rogue,S,SUV,automatic,jn8as5mt8dw514301,ca,3.7,57572,white,beige,nissan motor acceptance corporation,11550,12750,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap2dl772658,tx,4.3,15801,blue,black,nissan motor acceptance corporation,12500,12200,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn543664,az,2.5,64024,burgundy,black,the hertz corporation,9775,8800,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep6cc117166,fl,3.8,36796,red,black,nissan-infiniti lt,13300,12600,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
